17202,hit ground start
17837,hit ground end
21390,hit ground start
21937,hit ground end
43258,hit ground start
43920,hit ground end
47107,hit ground start
47639,hit ground end
51412,hit ground start
52006,hit ground end
55864,hit ground start
56395,hit ground end
60776,hit ground start
61411,hit ground end
69130,hit ground start
69839,hit ground end
72718,hit ground start
73236,hit ground end
76578,hit ground start
77083,hit ground end
80128,hit ground start
80537,hit ground end
83679,hit ground start
84191,hit ground end
90063,hit ground start
90676,hit ground end
93855,hit ground start
94455,hit ground end
99230,hit ground start
99700,hit ground end
102299,hit ground start
102872,hit ground end
108372,hit ground start
108787,hit ground end
111995,hit ground start
112519,hit ground end
118161,hit ground start
118556,hit ground end
121960,hit ground start
122560,hit ground end
125370,hit ground start
125860,hit ground end
128697,hit ground start
129181,hit ground end
132762,hit ground start
133259,hit ground end
136307,hit ground start
136902,hit ground end
142775,hit ground start
143327,hit ground end
147112,hit ground start
147637,hit ground end
167676,hit ground start
168188,hit ground end
172240,hit ground start
172828,hit ground end
182712,hit ground start
183279,hit ground end
185462,hit ground start
185912,hit ground end
188171,hit ground start
188613,hit ground end
191883,hit ground start
192333,hit ground end
195234,hit ground start
195679,hit ground end
198488,hit ground start
198878,hit ground end
202003,hit ground start
202439,hit ground end
205353,hit ground start
205741,hit ground end
209101,hit ground start
209633,hit ground end
213407,hit ground start
213918,hit ground end
220100,hit ground start
220584,hit ground end
222767,hit ground start
223319,hit ground end
229735,hit ground start
230411,hit ground end
238203,hit ground start
238667,hit ground end
241232,hit ground start
241729,hit ground end
248590,hit ground start
249176,hit ground end
252074,hit ground start
252770,hit ground end
