777,table start
2232,table end
3973,table start
5426,table end
7000,table start
8479,table end
10607,table start
12161,table end
13953,table start
15364,table end
17554,table start
19101,table end
49729,table start
50794,table end
52485,table start
53986,table end
55711,table start
57177,table end
58847,table start
60130,table end
61753,table start
62919,table end
64713,table start
65920,table end
67714,table start
68628,table end
70347,table start
71541,table end
73388,table start
74447,table end
76663,table start
77808,table end
79820,table start
81091,table end
82654,table start
83900,table end
92216,table start
93442,table end
95030,table start
96006,table end
97478,table start
98623,table end
100346,table start
101478,table end
103011,table start
104156,table end
115202,table start
116260,table end
118265,table start
119404,table end
121775,table start
123063,table end
124993,table start
126085,table end
127789,table start
128948,table end
130584,table start
131887,table end
133830,table start
135139,table end
136652,table start
137660,table end
139132,table start
140100,table end
141981,table start
143004,table end
145928,table start
147053,table end
167997,table start
169075,table end
170514,table start
171626,table end
173045,table start
174102,table end
175638,table start
176606,table end
178012,table start
178949,table end
180348,table start
181419,table end
182817,table start
183853,table end
185107,table start
186164,table end
187494,table start
188482,table end
189935,table start
190917,table end
198540,table start
199482,table end
201098,table start
201875,table end
203885,table start
204831,table end
209115,table start
210069,table end
211836,table start
212721,table end
214016,table start
215114,table end
216628,table start
217276,table end
218804,table start
219583,table end
221138,table start
221854,table end
223272,table start
223955,table end
225455,table start
226131,table end
227509,table start
228307,table end
229623,table start
230325,table end
231634,table start
232487,table end
233966,table start
234805,table end
236613,table start
237690,table end
241113,table start
241973,table end
243527,table start
244442,table end
246446,table start
247305,table end
248908,table start
249583,table end
251002,table start
251725,table end
256245,table start
257084,table end
258398,table start
259190,table end
284615,table start
285399,table end
293385,self-throw start
294265,self-throw end
295711,self-throw start
296549,self-throw end
297974,self-throw start
298800,self-throw end
299885,self-throw start
300648,self-throw end
302175,self-throw start
302981,self-throw end
304079,self-throw start
304999,self-throw end
306022,self-throw start
307182,self-throw end
308157,self-throw start
309392,self-throw end
310510,self-throw start
311567,self-throw end
312869,self-throw start
313859,self-throw end
315073,self-throw start
315938,self-throw end
317058,self-throw start
318027,self-throw end
319002,self-throw start
319813,self-throw end
321457,self-throw start
322385,self-throw end
323762,self-throw start
324580,self-throw end
325734,self-throw start
326644,self-throw end
327991,self-throw start
329006,self-throw end
330269,self-throw start
331257,self-throw end
332479,self-throw start
333399,self-throw end
334619,self-throw start
335568,self-throw end
336611,self-throw start
337636,self-throw end
338732,self-throw start
339830,self-throw end
346909,self-throw start
347940,self-throw end
348936,self-throw start
349958,self-throw end
350655,self-throw start
351697,self-throw end
352449,self-throw start
353703,self-throw end
354398,self-throw start
355539,self-throw end
356379,self-throw start
357810,self-throw end
358690,self-throw start
359705,self-throw end
360668,self-throw start
362004,self-throw end
362706,self-throw start
363872,self-throw end
364644,self-throw start
365769,self-throw end
366675,self-throw start
367842,self-throw end
368853,self-throw start
370012,self-throw end
370961,self-throw start
372140,self-throw end
373138,self-throw start
374597,self-throw end
375326,self-throw start
377147,self-throw end
378272,self-throw start
379336,self-throw end
380244,self-throw start
381389,self-throw end
382508,self-throw start
383627,self-throw end
384608,self-throw start
385829,self-throw end
386595,self-throw start
387672,self-throw end
388416,self-throw start
389671,self-throw end
390360,self-throw start
391451,self-throw end
392276,self-throw start
393349,self-throw end
394432,self-throw start
395754,self-throw end
396478,self-throw start
397808,self-throw end
398565,self-throw start
399724,self-throw end
400516,self-throw start
401682,self-throw end
402609,self-throw start
403980,self-throw end
404888,self-throw start
406006,self-throw end
406988,self-throw start
408162,self-throw end
409198,self-throw start
410509,self-throw end
411244,self-throw start
412342,self-throw end
413385,self-throw start
414374,self-throw end
415444,self-throw start
416535,self-throw end
417531,self-throw start
418553,self-throw end
420067,self-throw start
421275,self-throw end
422180,self-throw start
423361,self-throw end
424410,self-throw start
425671,self-throw end
426523,self-throw start
427903,self-throw end
428699,self-throw start
429898,self-throw end
430853,self-throw start
432373,self-throw end
433294,self-throw start
434541,self-throw end
435571,self-throw start
437173,self-throw end
437809,self-throw start
439444,self-throw end
